,Neighborhood, Metro_Line , Neighborhood_Latitude ,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,Shaheed Sthal(New Bus Adda),Red Line,28.67052875,77.41580947285303,Ghaziabad New Bus Stand,28.668896036789096,77.41331535992744,Bus Station
1,Shaheed Sthal(New Bus Adda),Red Line,28.67052875,77.41580947285303,Floralbay,28.67085907477691,77.4124789237976,Gift Shop
2,Shaheed Sthal(New Bus Adda),Red Line,28.67052875,77.41580947285303,Mohan makins,28.668893992100564,77.41889748233838,Brewery
3,Hindon River,Red Line,28.6734288,77.4065374,Axis Bank ATM,28.673,77.40722,ATM
4,Hindon River,Red Line,28.6734288,77.4065374,Agresen Chowk,28.674032286010693,77.40223438339748,Moving Target
5,Arthala,Red Line,28.676999,77.3918919,Raja Vaisno dhaba,28.6773,77.389558,Indian Restaurant
6,Arthala,Red Line,28.676999,77.3918919,Celebration Farm & Open Theater,28.675818807182008,77.39462785771916,Farm
7,Arthala,Red Line,28.676999,77.3918919,Ahuja vaishno bhojanalaya,28.677620311678698,77.38846715816943,Indian Restaurant
8,Arthala,Red Line,28.676999,77.3918919,Fun World Square Mall,28.680062617640463,77.39326569307333,Multiplex
9,Arthala,Red Line,28.676999,77.3918919,Axis Bank ATM,28.67388,77.39027,ATM
10,Mohan Nagar,Red Line,28.60631905,77.10608184860985,Taj ccd,28.60251961313182,77.10680308857673,Coffee Shop
11,Mohan Nagar,Red Line,28.60631905,77.10608184860985,YES Bank ATM,28.60986,77.10341,Bank
12,Mohan Nagar,Red Line,28.60631905,77.10608184860985,Aggarwal Restuarant,28.608994097483368,77.1022963208786,Indian Restaurant
13,Shyam park,Red Line,28.698807199999997,77.26846412516488,Yamuna Biodiversity Park,28.698583168189987,77.26662681111337,Botanical Garden
14,Shyam park,Red Line,28.698807199999997,77.26846412516488,Axis Bank ATM,28.697069168091,77.268867492676,ATM
15,Shaheed Nagar,Red Line,28.6782302,77.3356471,Daedal Research,28.682041569376615,77.33311772346497,Business Service
16,Dilshad Garden,Red Line,28.6758257,77.3215163,Domino's Pizza,28.676,77.321,Pizza Place
17,Dilshad Garden,Red Line,28.6758257,77.3215163,Dilshad Garden Metro Station,28.67610956412443,77.3214687544753,Light Rail Station
18,Dilshad Garden,Red Line,28.6758257,77.3215163,haldiram dilshad garden,28.676155231811137,77.32137900861908,Indian Restaurant
19,Dilshad Garden,Red Line,28.6758257,77.3215163,ChintAmani Sweets,28.676386979652246,77.31789008497181,Diner
20,Shahdara,Red Line,28.6733333,77.2890248,Shahdara Metro Station,28.673344176735423,77.28901147842407,Light Rail Station
21,Shahdara,Red Line,28.6733333,77.2890248,Halidrams,28.675918373532753,77.29012643226184,Vegetarian / Vegan Restaurant
