,station,seq_count
0,Shaheed Sthal(New Bus Adda),13
1,Hindon River,14
2,Arthala,15
3,Mohan Nagar,16
4,Shyam park,17
5,Major Mohit Sharma,18
6,Raj Bagh,19
7,Shaheed Nagar,20
8,Dilshad Garden,21
9,Jhil Mil,22
10,Mansarovar Park,23
11,Shahdara,24
12,Welcome,25
13,Seelampur,26
14,Shastri Park,27
15,Kashmere Gate,28
16,Tis Hazari,29
17,Pul Bangash,30
18,Pratap Nagar,31
19,Shastri Nagar,32
20,Inderlok,33
21,Kanhaiya Nagar,34
22,Keshav Puram,35
23,Netaji Subash Place,36
24,Kohat Enclave,37
25,Pitam Pura,38
26,Rohini East,39
27,Rohini West,40
28,Rithala,41
29,Samaypur Badli,42
30,Rohini Sector 18-19,43
31,Haiderpur Badli Mor,44
32,Jahangirpuri,45
33,Adarsh Nagar,46
34,Azadpur,47
35,Model Town,48
36,Guru Tegh Bahadur Nagar,49
37,Vishwavidyalaya,50
38,Vidhan Sabha,51
39,Civil Lines,52
40,Kashmere Gate,53
41,Chandni Chowk,54
42,Red Fort,55
43,Chawri Bazar,56
44,Jama Masjid,57
45,New Delhi,58
46,Rajiv Chowk,59
47,Cannaught Place,60
48,Patel Chowk,61
49, Jantar Mantar,62
50,Central Secretariat,63
51,Sansad Bhavan,64
52,Udyog Bhawan,65
53,Rashtrapati Bhavan,66
54,Lok Kalyan Marg,67
55, Lodhi Gardens,68
56,Lodhi Gardens,69
57,Jorbagh,70
58,Safdarjung Tomb,71
59,Dilli Haat INA,72
60,AIIMS,73
61,Green Park,74
62,Hauz Khas,75
63,Malviya Nagar,76
64,Saket,77
65,Qutab Minar,78
66,Qutab Minar,79
67,Chhattarpur,80
68,Chhattarpur Temple,81
69,Sultanpur,82
70,Ghitorni,83
71,Arjan Garh,84
72,Guru Dronacharya,85
73,Sikandarpur,86
74,MG Road,87
75,IFFCO Chowk,88
76,Huda City Centre,89
77,Dwarka Sector 21,90
78,Dwarka Sector 8,91
79,Dwarka Sector 9,92
80,Dwarka Sector 10,93
81,Dwarka Sector 11,94
82,Dwarka Sector 12,95
83,Dwarka Sector 13,96
84,Dwarka Sector 14,97
85,Dwarka,98
86,Dwarka Mor,99
87,Nawada,100
88,Uttam Nagar West,101
89,Uttam Nagar East,102
90,Janak Puri West,103
91,Janak Puri East,104
92,Tilak Nagar,105
93,Subhash Nagar,106
94,Tagore Garden,107
95,Rajouri Garden,108
96,Ramesh Nagar,109
97,Moti Nagar,110
98,Kirti Nagar,111
99,Shadipur,112
100,Patel Nagar,113
101,Rajendra Place,114
102,Karol Bagh,115
103,Jhandewalan,116
104,R K Ashram Marg,117
105,Laxmi Narayan Temple,118
106,Rajiv Chowk,119
107,Barakhamba,120
108,Mandi House,121
109,Supreme Court (Pragati Maidan),122
110,Rajghat,123
111,Shanti Vana,124
112,Indraprastha,125
113,Purana Quila,126
114,Yamuna Bank,127
115,Akshardham,128
116,Akshardham,129
117,Mayur Vihar Phase-1,130
118,Mayur Vihar Extention,131
119,New Ashok Nagar,132
120,Noida Sector 15,133
121,Noida Sector 16,134
122,Noida Sector 18,135
123,Botanical Garden,136
124,Golf Course,137
125,Noida City Center,138
126,Noida Sector 34,139
127,Noida Sector 52,140
128,Noida Sector 61,141
129,Noida Sector 59,142
130,Noida Sector 62,143
131,Noida Electronic City,144
132,New Delhi-Airport Express,145
133,Shivaji Stadium,146
134,Gurdwara Bangla Sahib,147
135,Dhaula Kuan,148
136,Delhi Aerocity,149
137,IGI Airport,150
138,Dwarka Sector 21,151
139,Inderlok,152
140,Ashok Park Main,153
141,Punjabi Bagh,154
142,Shivaji Park,155
143,Madipur,156
144,Paschim Vihar (East),157
145,Paschim Vihar (West),158
146,Peera Garhi,159
147,Udyog Nagar,160
148,National Museum,161
